collocate,window_freq,pmi,t_score,global_freq
da,4,3.7426775380685893,1.823110042496086,333
gar,3,8.345022117017983,1.7259170259123113,10
surreal,3,8.219491234934123,1.7253036477466546,11
wa,3,5.429414304308355,1.6817537979850352,82
zu,3,3.952704694239222,1.5909738294678561,230
atmosphär,2,7.219491234934123,1.401442622408699,17
recht,2,6.997098813597676,1.3991889271208644,20
dass,2,5.1226296956815345,1.3571199484146195,76
fabelhaft,1,9.80445373565528,0.9989375978528293,1
verzog,1,9.80445373565528,0.9989375978528293,1
beinah,1,9.80445373565528,0.9989375978528293,1
labyrinthisch,1,9.80445373565528,0.9989375978528293,1
verlassen,1,9.80445373565528,0.9989375978528293,1
albtraumhaft,1,9.80445373565528,0.9989375978528293,1
inszenierung,1,9.80445373565528,0.9989375978528293,1
konfiguration,1,9.80445373565528,0.9989375978528293,1
versetzt,1,9.80445373565528,0.9989375978528293,1
aussichtlo,1,9.80445373565528,0.9989375978528293,1
fürchterlich,1,9.80445373565528,0.9989375978528293,1
irgendeiner,1,9.80445373565528,0.9989375978528293,1
comichaft,1,9.80445373565528,0.9989375978528293,1
überrasch,1,9.80445373565528,0.9989375978528293,1
gleichsetz,1,9.80445373565528,0.9989375978528293,1
adjektiv,1,9.80445373565528,0.9989375978528293,1
unsinnig,1,9.80445373565528,0.9989375978528293,1
logikansatz,1,9.80445373565528,0.9989375978528293,1
eigenartig,1,9.80445373565528,0.9989375978528293,1
verfremdung,1,9.80445373565528,0.9989375978528293,1
passend,1,9.219491234934123,0.9978751957056586,2
eingebettet,1,9.219491234934123,0.9978751957056586,2
schaurig,1,9.219491234934123,0.9978751957056586,2
sowa,1,9.219491234934123,0.9978751957056586,2
gäst,1,9.219491234934123,0.9978751957056586,2
video,1,9.219491234934123,0.9978751957056586,2
vorstell,1,9.219491234934123,0.9978751957056586,2
spielwelt,1,9.219491234934123,0.9978751957056586,2
gerecht,1,9.219491234934123,0.9978751957056586,2
skurill,1,9.219491234934123,0.9978751957056586,2
vorallem,1,9.219491234934123,0.9978751957056586,2
gleichzeitig,1,8.80445373565528,0.9968127935584881,3
hast,1,8.80445373565528,0.9968127935584881,3
morbid,1,8.80445373565528,0.9968127935584881,3
gleichförmig,1,8.80445373565528,0.9968127935584881,3
autor,1,8.80445373565528,0.9968127935584881,3
meint,1,8.80445373565528,0.9968127935584881,3
stellenweis,1,8.482525640767918,0.9957503914113174,4
niveau,1,8.482525640767918,0.9957503914113174,4
weiss,1,8.482525640767918,0.9957503914113174,4
gruselig,1,8.482525640767918,0.9957503914113174,4
charmant,1,8.482525640767918,0.9957503914113174,4
erzähl,1,8.482525640767918,0.9957503914113174,4
skurril,1,8.219491234934123,0.9946879892641467,5
schwarz,1,8.219491234934123,0.9946879892641467,5
sowohl,1,8.219491234934123,0.9946879892641467,5
nett,1,8.219491234934123,0.9946879892641467,5
versteh,1,7.997098813597676,0.993625587116976,6
surrealismu,1,7.997098813597676,0.993625587116976,6
absurd,1,7.997098813597676,0.993625587116976,6
protagonist,1,7.997098813597676,0.993625587116976,6
wirk,1,7.997098813597676,0.993625587116976,6
daher,1,7.8044537356552794,0.9925631849698054,7
form,1,7.8044537356552794,0.9925631849698054,7
handlung,1,7.8044537356552794,0.9925631849698054,7
versucht,1,7.8044537356552794,0.9925631849698054,7
zudem,1,7.8044537356552794,0.9925631849698054,7
eigen,1,7.8044537356552794,0.9925631849698054,7
100,1,7.8044537356552794,0.9925631849698054,7
lieb,1,7.634528734212967,0.9915007828226348,8
di,1,7.482525640767917,0.9904383806754641,9
manch,1,7.482525640767917,0.9904383806754641,9
vielleicht,1,7.482525640767917,0.9904383806754641,9
persönlich,1,7.482525640767917,0.9904383806754641,9
mag,1,7.345022117017982,0.9893759785282934,10
soll,1,7.345022117017982,0.9893759785282934,10
wohl,1,7.104014017514187,0.9872511742339521,12
meinung,1,7.104014017514187,0.9872511742339521,12
wollt,1,7.104014017514187,0.9872511742339521,12
art,1,6.997098813597676,0.9861887720867815,13
kommt,1,6.8044537356552794,0.9840639677924402,15
wirkt,1,6.8044537356552794,0.9840639677924402,15
un,1,6.556526222211694,0.9808767613509282,18
teil,1,6.556526222211694,0.9808767613509282,18
welt,1,6.412136312876519,0.9787519570565869,20
tun,1,6.345022117017982,0.9776895549094162,21
geschicht,1,5.946472740527708,0.9702527398792217,28
story,1,5.71699089440494,0.9649407291433684,33
rätsel,1,5.312600639325605,0.9532543055244912,44
ganz,1,5.132028393683784,0.9468798926414672,50
wenn,1,4.946472740527708,0.9394430776112727,57
hat,1,4.634528734212967,0.9245694475508834,71
al,1,4.575635045159398,0.9213822411093715,74
dem,1,4.2652949245472485,0.9022590024602997,92
kafka,1,4.249864883977642,0.9011966003131291,93
sich,1,3.654706616150597,0.8502012972489376,141
spiel,1,2.8796412320494986,0.7428986803847014,242
