collocate,window_freq,pmi,t_score,global_freq
cynicism,1,9.36839581882838,0.9984939969043269,1
infraction,1,9.36839581882838,0.9984939969043269,1
sprawl,1,9.36839581882838,0.9984939969043269,1
afterlif,1,9.36839581882838,0.9984939969043269,1
nervou,1,9.36839581882838,0.9984939969043269,1
eee,1,9.36839581882838,0.9984939969043269,1
nighmar,1,9.36839581882838,0.9984939969043269,1
stalinist,1,9.36839581882838,0.9984939969043269,1
mockery,1,9.36839581882838,0.9984939969043269,1
salad,1,9.36839581882838,0.9984939969043269,1
sorrowful,1,9.36839581882838,0.9984939969043269,1
overused,1,9.36839581882838,0.9984939969043269,1
creepier,1,9.36839581882838,0.9984939969043269,1
lynchean,1,9.36839581882838,0.9984939969043269,1
ps1,1,9.36839581882838,0.9984939969043269,1
crossword,1,9.36839581882838,0.9984939969043269,1
emergent,1,9.36839581882838,0.9984939969043269,1
perpetual,1,9.36839581882838,0.9984939969043269,1
capitalist,1,9.36839581882838,0.9984939969043269,1
gigeresqu,1,9.36839581882838,0.9984939969043269,1
cleverness,1,9.36839581882838,0.9984939969043269,1
dick'',1,9.36839581882838,0.9984939969043269,1
shakespearian,1,9.36839581882838,0.9984939969043269,1
ting,1,9.36839581882838,0.9984939969043269,1
inescapably,1,9.36839581882838,0.9984939969043269,1
toying,1,9.36839581882838,0.9984939969043269,1
omnipotent,1,9.36839581882838,0.9984939969043269,1
dulcet,1,9.36839581882838,0.9984939969043269,1
emulation,1,9.36839581882838,0.9984939969043269,1
nondescript,1,9.36839581882838,0.9984939969043269,1
whim,1,9.36839581882838,0.9984939969043269,1
kobayashi,1,9.36839581882838,0.9984939969043269,1
degenerat,1,9.36839581882838,0.9984939969043269,1
submerged,1,9.36839581882838,0.9984939969043269,1
griding,1,9.36839581882838,0.9984939969043269,1
megastructur,1,9.36839581882838,0.9984939969043269,1
crawler,1,9.36839581882838,0.9984939969043269,1
marketabl,1,9.36839581882838,0.9984939969043269,1
sytem,1,9.36839581882838,0.9984939969043269,1
gerrymandered,1,9.36839581882838,0.9984939969043269,1
christ,1,9.36839581882838,0.9984939969043269,1
amusingly,1,9.36839581882838,0.9984939969043269,1
pinkman,1,9.36839581882838,0.9984939969043269,1
woah,1,9.36839581882838,0.9984939969043269,1
jfc,1,9.36839581882838,0.9984939969043269,1
nan,1,9.36839581882838,0.9984939969043269,1
tramatizing,1,9.36839581882838,0.9984939969043269,1
signifcant,1,9.36839581882838,0.9984939969043269,1
indecipherabl,1,9.36839581882838,0.9984939969043269,1
quaint,1,9.36839581882838,0.9984939969043269,1
surealism,1,9.36839581882838,0.9984939969043269,1
sequiter,1,9.36839581882838,0.9984939969043269,1
alegorical,1,9.36839581882838,0.9984939969043269,1
godforsak,1,9.36839581882838,0.9984939969043269,1
disguised,1,9.36839581882838,0.9984939969043269,1
liminal,1,9.36839581882838,0.9984939969043269,1
stumbling,1,9.36839581882838,0.9984939969043269,1
laboratory,1,9.36839581882838,0.9984939969043269,1
finessed,1,9.36839581882838,0.9984939969043269,1
existantial,1,9.36839581882838,0.9984939969043269,1
hurrah,1,9.36839581882838,0.9984939969043269,1
shaking,1,9.36839581882838,0.9984939969043269,1
biting,1,9.36839581882838,0.9984939969043269,1
excellenc,1,9.36839581882838,0.9984939969043269,1
merger,1,9.36839581882838,0.9984939969043269,1
hoplessness,1,9.36839581882838,0.9984939969043269,1
endured,1,9.36839581882838,0.9984939969043269,1
dystopic,1,9.36839581882838,0.9984939969043269,1
draconian,1,9.36839581882838,0.9984939969043269,1
authoritativ,1,9.36839581882838,0.9984939969043269,1
administration,1,9.36839581882838,0.9984939969043269,1
considerat,1,9.36839581882838,0.9984939969043269,1
doublespeak,1,9.36839581882838,0.9984939969043269,1
dilbert,1,9.36839581882838,0.9984939969043269,1
unmatchabl,1,9.36839581882838,0.9984939969043269,1
noirish,1,9.36839581882838,0.9984939969043269,1
inventiv,1,8.783433318107225,0.996987993808654,2
promised,1,8.783433318107225,0.996987993808654,2
pessimism,1,8.783433318107225,0.996987993808654,2
reasonably,1,8.783433318107225,0.996987993808654,2
overlord,1,8.783433318107225,0.996987993808654,2
nostalgic,1,8.783433318107225,0.996987993808654,2
1984,1,8.783433318107225,0.996987993808654,2
charg,1,8.783433318107225,0.996987993808654,2
bordering,1,8.783433318107225,0.996987993808654,2
mash,1,8.783433318107225,0.996987993808654,2
bespok,1,8.783433318107225,0.996987993808654,2
2022,1,8.783433318107225,0.996987993808654,2
brutality,1,8.783433318107225,0.996987993808654,2
advantag,1,8.783433318107225,0.996987993808654,2
irritatingly,1,8.783433318107225,0.996987993808654,2
disorienting,1,8.783433318107225,0.996987993808654,2
guilty,1,8.783433318107225,0.996987993808654,2
distract,1,8.783433318107225,0.996987993808654,2
ruleset,1,8.783433318107225,0.996987993808654,2
muted,1,8.783433318107225,0.996987993808654,2
unexpectedly,1,8.783433318107225,0.996987993808654,2
uncaring,1,8.783433318107225,0.996987993808654,2
eldritch,1,8.783433318107225,0.996987993808654,2
abomination,1,8.783433318107225,0.996987993808654,2
1996,1,8.783433318107225,0.996987993808654,2
fmv,1,8.783433318107225,0.996987993808654,2
suspenseful,1,8.783433318107225,0.996987993808654,2
persist,1,8.783433318107225,0.996987993808654,2
75,1,8.783433318107225,0.996987993808654,2
jesu,1,8.783433318107225,0.996987993808654,2
engrossing,1,8.783433318107225,0.996987993808654,2
partak,1,8.783433318107225,0.996987993808654,2
shenanigan,1,8.783433318107225,0.996987993808654,2
succeeded,1,8.783433318107225,0.996987993808654,2
procedur,1,8.783433318107225,0.996987993808654,2
utiliz,1,8.783433318107225,0.996987993808654,2
langeskov,1,8.783433318107225,0.996987993808654,2
involuntarily,1,8.783433318107225,0.996987993808654,2
containing,1,8.783433318107225,0.996987993808654,2
pyramid,1,8.783433318107225,0.996987993808654,2
brutalist,1,8.783433318107225,0.996987993808654,2
architectur,1,8.783433318107225,0.996987993808654,2
plentiful,1,8.783433318107225,0.996987993808654,2
af,1,8.783433318107225,0.996987993808654,2
freaky,1,8.783433318107225,0.996987993808654,2
