collocate,window_freq,pmi,t_score,global_freq
oper,4,7.957865389698521,1.9916321998422202,5
burrough,4,7.735472968362073,1.9899586398106643,6
emblem,4,7.735472968362073,1.9899586398106643,6
frank,4,7.5428278904196775,1.9882850797791083,7
geles,4,7.3729028889773645,1.9866115197475525,8
escritor,4,7.220899795532315,1.9849379597159964,9
orwell,4,7.220899795532315,1.9849379597159964,9
shor,4,7.08339627178238,1.9832643996844403,10
nietzsch,4,7.08339627178238,1.9832643996844403,10
roman,4,6.842388172278585,1.9799172796213285,12
castl,4,6.735472968362073,1.9782437195897726,13
yeah,4,6.735472968362073,1.9782437195897726,13
gern,4,6.635937294811159,1.9765701595582166,14
univer,4,6.635937294811159,1.9765701595582166,14
famou,4,6.5428278904196775,1.9748965995266607,15
beckett,4,6.5428278904196775,1.9748965995266607,15
hätt,4,6.3729028889773645,1.9715494794635489,17
literary,4,6.220899795532315,1.9682023594004368,19
material,4,6.150510467640917,1.966528799368881,20
werk,4,6.150510467640917,1.966528799368881,20
inspiration,4,6.150510467640917,1.966528799368881,20
called,4,5.842388172278585,1.958160999211101,25
literatur,4,5.735472968362073,1.9548138791479892,27
lost,4,5.588631580032802,1.9497931990533213,30
entr,4,5.498433771061224,1.9464460789902094,32
except,4,5.4553650491693375,1.9447725189586536,33
ja,4,5.413544873474711,1.9430989589270975,34
excellent,4,5.220899795532315,1.9347311587693177,39
ele,4,5.185275885801594,1.9330575987377618,40
100,4,5.11656313571758,1.92971047867465,42
игра,4,5.11656313571758,1.92971047867465,42
reading,4,5.08339627178238,1.928036918643094,43
hab,4,5.08339627178238,1.928036918643094,43
gregor,4,4.898971700644952,1.9179955584537582,49
su,4,4.898971700644952,1.9179955584537582,49
beautiful,4,4.565547966919761,1.8962392780435309,62
dies,4,4.565547966919761,1.8962392780435309,62
yourself,4,4.498433771061224,1.891218597948863,65
isn't,4,4.333374524790727,1.8778301176964154,73
como,4,4.202977887535052,1.8661151974755237,80
going,4,4.08339627178238,1.854400277254632,87
con,4,3.814907435856478,1.8242761966866248,105
long,4,3.7614681768950176,1.817581956560401,109
http,4,3.7614681768950176,1.817581956560401,109
never,4,3.635937294811159,1.8008463562448414,119
den,4,3.600313385080437,1.7958256761501734,122
bu,4,3.600313385080437,1.7958256761501734,122
thes,4,3.509404888882227,1.7824371958977259,130
para,4,3.4875454549184877,1.779090075834614,132
part,4,3.3333745247907274,1.7539866753612747,147
still,4,3.3044231510945985,1.7489659952666068,150
bit,4,3.276041349724776,1.7439453151719388,153
every,4,3.257425671557429,1.740598195108827,155
bug,4,3.1940997361886,1.7288832748879353,162
great,4,3.1334369542819753,1.7171683546670438,169
lot,4,2.8917761992407485,1.665287993688809,200
и,4,2.8354687583387945,1.6518995134363614,208
through,4,2.808118270193839,1.6452052733101377,212
play,4,2.559834315725367,1.5782628720478993,252
feel,4,2.4660122933688466,1.5498123515114481,269
way,4,2.3480710359974295,1.5113204707856611,292
pulli,3,9.220899795532315,1.7301183468994297,1
kapp,3,9.220899795532315,1.7301183468994297,1
html,3,8.220899795532315,1.7262534255605344,3
métamorphos,3,8.220899795532315,1.7262534255605344,3
hose,3,8.220899795532315,1.7262534255605344,3
novela,3,7.898971700644952,1.7243209648910869,4
bizarro,3,7.898971700644952,1.7243209648910869,4
bezug,3,7.898971700644952,1.7243209648910869,4
dostoyevsky,3,7.898971700644952,1.7243209648910869,4
2017,3,7.898971700644952,1.7243209648910869,4
approv,3,7.635937294811159,1.7223885042216391,5
genial,3,7.413544873474711,1.7204560435521916,6
referencia,3,7.413544873474711,1.7204560435521916,6
coffe,3,7.413544873474711,1.7204560435521916,6
intrigu,3,6.898971700644952,1.7146586615438484,9
verwandlung,3,6.761468176895018,1.7127262008744006,10
videojuego,3,6.761468176895018,1.7127262008744006,10
reader,3,6.635937294811159,1.7107937402049531,11
bureaucratic,3,6.635937294811159,1.7107937402049531,11
dei,3,6.635937294811159,1.7107937402049531,11
alla,3,6.635937294811159,1.7107937402049531,11
baseado,3,6.520460077391223,1.7088612795355054,12
dafür,3,6.314009199923796,1.70499635819661,14
unless,3,6.220899795532315,1.7030638975271626,15
univers,3,6.133436954281976,1.7011314368577148,16
bin,3,6.133436954281976,1.7011314368577148,16
neat,3,6.133436954281976,1.7011314368577148,16
dr,3,6.050974794090003,1.6991989761882673,17
describ,3,5.97297228208873,1.6972665155188196,18
knowledg,3,5.97297228208873,1.6972665155188196,18
sollt,3,5.898971700644952,1.6953340548493718,19
würd,3,5.898971700644952,1.6953340548493718,19
hate,3,5.761468176895018,1.6914691335104766,21
adaptation,3,5.635937294811159,1.687604212171581,23
author,3,5.635937294811159,1.687604212171581,23
himself,3,5.635937294811159,1.687604212171581,23
einig,3,5.635937294811159,1.687604212171581,23
está,3,5.520460077391223,1.6837392908326858,25
filled,3,5.520460077391223,1.6837392908326858,25
sono,3,5.520460077391223,1.6837392908326858,25
writer,3,5.466012293368847,1.6818068301632383,26
sobr,3,5.466012293368847,1.6818068301632383,26
wenig,3,5.413544873474711,1.6798743694937905,27
geschicht,3,5.362918800404743,1.6779419088243428,28
x,3,5.362918800404743,1.6779419088243428,28
от,3,5.314009199923796,1.6760094481548953,29
ben,3,5.26670348514544,1.6740769874854475,30
thank,3,5.011446429903365,1.6624822234687617,36
seen,3,4.97297228208873,1.660549762799314,37
name,3,4.828582372753554,1.6528199201215232,41
ye,3,4.828582372753554,1.6528199201215232,41
absolutely,3,4.72904669920264,1.6470225381131804,44
put,3,4.666310943854677,1.6431576167742852,46
text,3,4.666310943854677,1.6431576167742852,46
os,3,4.6061899514171065,1.6392926954353897,48
но,3,4.5770436057575905,1.6373602347659422,49
k,3,4.520460077391223,1.633495313427047,51
plot,3,4.520460077391223,1.633495313427047,51
random,3,4.520460077391223,1.633495313427047,51
gut,3,4.520460077391223,1.633495313427047,51
understand,3,4.466012293368847,1.6296303920881516,53
habe,3,4.466012293368847,1.6296303920881516,53
oyunu,3,4.413544873474711,1.6257654707492564,55
wenn,3,4.362918800404743,1.6219005494103607,57
mal,3,4.26670348514544,1.6141707067325701,61
away,3,4.243619872032398,1.6122382460631226,62
keep,3,4.243619872032398,1.6122382460631226,62
sort,3,4.243619872032398,1.6122382460631226,62
original,3,4.133436954281976,1.6025759427158843,67
yet,3,3.972972282088729,1.5871162573603033,75
betw,3,3.9354975766700666,1.5832513360214076,77
probably,3,3.917119047355212,1.58131887535196,78
far,3,3.88104979264769,1.5774539540130648,80
mind,3,3.8458603641853903,1.5735890326741695,82
son,3,3.811508859394613,1.5697241113352742,84
both,3,3.794635040830217,1.5677916506658265,85
come,3,3.7451663645659172,1.5619942686574835,88
c'est,3,3.6817409844242834,1.5542644259796927,92
full,3,3.6663109438546777,1.5523319653102452,93
now,3,3.651044187201367,1.5503995046407975,94
che,3,3.635937294811159,1.5484670439713497,95
par,3,3.5915431754527054,1.542669661963007,98
actually,3,3.5770436057575905,1.5407372012935592,99
different,3,3.5770436057575905,1.5407372012935592,99
на,3,3.5484744535608193,1.536872279954664,101
horror,3,3.5484744535608193,1.536872279954664,101
styl,3,3.4929793409691157,1.5291424372768734,105
enough,3,3.4660122933688466,1.5252775159379781,107
best,3,3.4527154707553884,1.5233450552685301,108
main,3,3.4395400820076554,1.5214125945990826,109
5,3,3.4135448734747107,1.5175476732601874,111
sound,3,3.3754097445879396,1.5117502912518443,114
pretty,3,3.3505350759489105,1.507885369912949,116
played,3,3.26670348514544,1.4943581452268155,123
nothing,3,3.232215108760149,1.4885607632184723,126
few,3,3.220899795532315,1.4866283025490248,127
1,3,3.220899795532315,1.4866283025490248,127
не,3,3.209672540109061,1.484695841879577,128
made,3,3.1548106050745424,1.4750335385323388,133
pour,3,3.0509747940900027,1.4557089318378622,143
quit,3,3.0509747940900027,1.4557089318378622,143
want,3,3.0509747940900027,1.4557089318378622,143
review,3,3.0310752366522977,1.451844010498967,145
need,3,3.0212274506959504,1.4499115498295192,146
au,3,2.992081105036434,1.4441141678211762,149
ne,3,2.982495056207236,1.4421817071517287,150
ce,3,2.6973378394753023,1.378410505059956,183
experienc,3,2.5698481043533863,1.3455586736793457,200
get,3,1.7330597617092636,1.0402298879066159,358
bagye1hye8u,2,8.805862296253471,1.411846791079023,1
františek,2,8.805862296253471,1.411846791079023,1
junger,2,8.805862296253471,1.411846791079023,1
yabancılaşma,2,8.805862296253471,1.411846791079023,1
heldenreis,2,8.805862296253471,1.411846791079023,1
vollständig,2,8.805862296253471,1.411846791079023,1
zitat,2,8.220899795532315,1.409480019784951,2
nın,2,8.220899795532315,1.409480019784951,2
interessiert,2,8.220899795532315,1.409480019784951,2
tiré,2,8.220899795532315,1.409480019784951,2
empfehlung,2,8.220899795532315,1.409480019784951,2
bukowski,2,8.220899795532315,1.409480019784951,2
citaçõ,2,8.220899795532315,1.409480019784951,2
esqe,2,8.220899795532315,1.409480019784951,2
allan,2,8.220899795532315,1.409480019784951,2
overton,2,8.220899795532315,1.409480019784951,2
desenho,2,8.220899795532315,1.409480019784951,2
cuento,2,8.220899795532315,1.409480019784951,2
bulgakov,2,8.220899795532315,1.409480019784951,2
bohemio,2,8.220899795532315,1.409480019784951,2
leu,2,8.220899795532315,1.409480019784951,2
simpático,2,8.220899795532315,1.409480019784951,2
сравнительно,2,8.220899795532315,1.409480019784951,2
04,2,8.220899795532315,1.409480019784951,2
отдельный,2,8.220899795532315,1.409480019784951,2
kitabı,2,8.220899795532315,1.409480019784951,2
racconto,2,7.805862296253471,1.407113248490879,3
procè,2,7.805862296253471,1.407113248490879,3
connaisseur,2,7.805862296253471,1.407113248490879,3
pleased,2,7.805862296253471,1.407113248490879,3
schopenhauer,2,7.805862296253471,1.407113248490879,3
florenc,2,7.805862296253471,1.407113248490879,3
dougla,2,7.805862296253471,1.407113248490879,3
haruki,2,7.805862296253471,1.407113248490879,3
enttäuscht,2,7.805862296253471,1.407113248490879,3
python,2,7.805862296253471,1.407113248490879,3
doesnt,2,7.805862296253471,1.407113248490879,3
parody,2,7.805862296253471,1.407113248490879,3
carroll,2,7.483934201366109,1.404746477196807,4
inspiré,2,7.483934201366109,1.404746477196807,4
charmant,2,7.483934201366109,1.404746477196807,4
subplot,2,7.483934201366109,1.404746477196807,4
разработчика,2,7.483934201366109,1.404746477196807,4
analysi,2,7.483934201366109,1.404746477196807,4
collectabl,2,7.483934201366109,1.404746477196807,4
smil,2,7.483934201366109,1.404746477196807,4
brought,2,7.483934201366109,1.404746477196807,4
